91,10,National Symbols,Which is the National tree of United Kingdom?,Silver fern,Royal Oak,Banyan tree,African Blackwood,2,The oak is the national tree of England representing strength and endurance. The Royal oak and Oak Apple Day commemorate the escape of King Charles II from the grasps of the parliamentarians after his father's execution, he hid in an oak tree to avoid detection before making it safely into exile.
92,10,National Symbols,Which is the National flower of Iran?,Pink Rose,Peony,Lotus,Tulip,4,"The tulip is a Eurasian and North African genus of perennial, bulbous plants in the lily family. It is an herbaceous herb with showy flowers, of which around 75 wild species are currently accepted.",
93,10,National Symbols,What is the national bird of Iraq?,Chukar partridge,Bald eagle,Zenaida dove,Emu,1,The chukar partridge or chukar is a Eurasian upland gamebird in the pheasant family Phasianidae. ,
94,10,National Symbols,Red kangaroo is which Country's National animal?,Algeria,Austria,Australia,Argentina,3,"The eastern grey kangaroo (Macropus giganteus) is less well-known than the red (outside Australia), but the most often seen, as its range covers the fertile eastern part of the country.",
95,10,National Symbols,The National animal of Finland is,Royal Bengal Tiger,Brown bear,Lion,Red kangaroo,2,The brown bear is a large bear distributed across much of northern Eurasia and North America and is the largest land-based predator on earth. ,
96,10,National Symbols,Mango Tree is which country's National tree?,Maldives,Italy,Pakistan,Bangladesh,4,"The mango is the national fruit of India, Pakistan, and the Philippines. It is also the national tree of Bangladesh. In India, harvest and sale of mangoes is during March–May and this is annually covered by news agencies.",
97,10,National Symbols,Which  is the Maldives National flower.,Pink rose,Lotus,Tulip,Peony,1,"The rose is the national flower of the United States, the United Kingdom and the Maldives. It is also the official flower of several states and the province of Alberta. The rose once served as Honduras' national flower as well.",
98,10,National Symbols,The National tree of Maldives is,Macedonian Pine,Coconut palm,Panama tree,Scots Pine,2,"The National Tree of the Republic of Maldives is the ""Dhivehi Ruh"" (Coconut Palm). All the islands throughout the Republic support a dense growth of the palm.",
99,10,National Symbols,The National bird of Greece is ,Kiwi,Emu,Little owl,Bald eagle,3,"The little owl is a bird that inhabits much of the temperate and warmer parts of Europe, Asia east to Korea, and north Africa. ",
100,10,National Symbols,Which is the national tree of Australia?,Golden Wattle,Lignum vitae,Honduras Mahogany,Coconut palm,1,"Acacia pycnantha, commonly known as the golden wattle, is a tree of the family Fabaceae native to southeastern Australia.",
