_id,category_id,category_name,question,choice1,choice2,choice3,choice4,answer,explanation
1,1,Animals ,"Bees are found on every continent of earth except for one, which is it?",Africa,Asia,Antarctica,Erope,3,NA
2,1,Animals ,What is the fastest land animal in the world?,Lion,Deer,Tiger,Cheetah,4,NA
3,1,Animals ,How many pairs of wings does a bee have?,1,2,3,4,2,NA
4,1,Animals ,What is the tallest animal in the world?,The Elephant,The Giraffe,Kangaru,Panda,2,NA
5,1,Animals ,What is the largest land animal in the world?,The Elephant,The Giraffe,Kangaru,Panda,1,NA
6,1,Animals ,How many legs does a spider have?,4,6,8,2,3,NA
7,1,Animals ,The crocodile species is believed to have been around for how long?,2 million years,200 million years,20 million years,100 million years,2,NA
8,1,Animals ,How many years a tortoise can live?,180 years,150 years,200 years,100 years,2,"Tortoises generally have one of the longest lifespans of any animal, and some individuals are known to have lived longer than 150 years. Because of this, they symbolize longevity in some cultures, such as China."
9,1,Animals ,Which is the heaviest reptile in the world?,Crocodile,Turtles,Tuatara,Cobra,1,"The saltwater crocodile is the largest living reptile. The largest living non-avian reptile, a representative of the order Crocodilia, is the saltwater crocodile (Crocodylus porosus) of Southern Asia and Australia, with adult males being typically 3.9–5.5 m (13–18 ft) long."
10,1,Animals ,Which of the following animal is not a reptile?,Lizard,Crocodile,Snake,Jellyfish,4,"Jellyfishes are not reptiles they are invertebrates, and belong to the phylum coelenterata. they have three layers of skin and contain a special body cavity."
